question,answer,context,difficulty
What information must you exchange with other drivers after an accident?,"Names, addresses, driver’s license numbers, license plate numbers, and insurance information.",Accidents,Easy
When must you report an accident to the DMV using a SR-1 form?,"If property damage exceeds $1,000 or anyone was injured or killed.",Accidents,Hard
What is the step-by-step procedure for a hit-and-run collision?,"Stop, call 911, note vehicle description and license plate, collect witness info, report to DMV within 24 hours if damage over $1,000.",Accidents,Hard
What is the penalty for failing to report a collision as required?,"Misdemeanor, fines up to $1,000, license suspension, or jail time.",Accidents,Hard
What should you do to protect the accident scene if you are involved in a collision?,"Set up warning triangles or flares if available, keep vehicles from blocking traffic, and call for help.",Accidents,Medium
What is the Good Samaritan law regarding helping at an accident scene?,Provides immunity from liability to those who help in good faith during an emergency.,Accidents,Medium
When is it mandatory to perform a DUI checkpoint stop?,All drivers must stop for DUI checkpoints; refusal to stop can lead to arrest.,Accidents,Medium
What is the process for collecting witness statements at a minor accident scene?,"Ask questions calmly, record names, addresses, and what they saw, and encourage them to stay until police arrive.",Accidents,Hard
What is the purpose of an SR-1 form after a collision?,Report accident details to the DMV for proper record keeping and insurance claims.,Accidents,Medium
What minimum insurance coverage is required to register a vehicle in California?,"Liability insurance: $15,000 for injury/death of one person, $30,000 for injury/death of multiple people, $5,000 for property damage.",Legal Requirements,Medium
What is the penalty for driving without proof of insurance?,"Fines, license suspension, and registration holds until proof is provided.",Legal Requirements,Hard
When is a vehicle registration renewal notice sent by the DMV?,Approximately 60 days before registration expiration.,Legal Requirements,Easy
What must you do after buying a used car to transfer the title?,Submit the title transfer application and transfer fees to the DMV within 10 days of purchase.,Legal Requirements,Medium
"What is the purpose of a smog check, and when is it required?",Test for vehicle emissions; required every two years or on change of ownership in most areas.,Legal Requirements,Medium
What is the penalty for driving with expired registration?,Fines and possible registration hold; can be impounded if expired for more than six months.,Legal Requirements,Hard
What is the purpose of a VIN (Vehicle Identification Number)?,"Unique identifier for a vehicle used in registration, insurance, and theft prevention.",Legal Requirements,Easy
What does 'proof of financial responsibility' mean?,Evidence you can cover potential liability claims—usually through insurance or bond.,Legal Requirements,Medium
How do you renew a driver license in California if you are out of state?,Request a renewal packet by mail and return completed forms with required documents and fees.,Legal Requirements,Hard
What is the purpose of a temporary operating permit (TOP)?,Allows driving for 90 days while waiting for registration or title paperwork to clear.,Legal Requirements,Medium
What is the California 'Move Over' law when approaching a stationary emergency vehicle with lights flashing?,Drivers must move over one lane or slow down by 20 mph below the speed limit if changing lanes is unsafe.,Special Situations,Medium
"When driving through an animal-crossing area at night, what should you do?","Slow down, use high beams when no oncoming traffic, and be prepared to stop if animals appear.",Special Situations,Medium
"What is a 'chain control' sign, and when is it used?",Indicates that tire chains are required for vehicles on mountain roads during winter storms.,Special Situations,Medium
What is the correct way to handle a tire chain installation stop?,"Exit at designated chain control area, follow posted instructions, install chains securely before proceeding.",Special Situations,Hard
What is the maximum allowable tint for windshield sun visors in California?,"Non-reflective tint is allowed above the manufacturer's AS-1 line; otherwise, no tint is allowed.",Vehicle Equipment,Hard
What does a red circle with a red slash over a bicycle symbol mean?,Bicycles are not allowed on this roadway or path.,Special Situations,Medium
How should you behave when passing a horse and rider on the road?,"Slow down, use caution, and give at least 3 feet of space; do not speed up or honk horn.",Special Situations,Medium
"What is a 'no stopping any time' sign, and where is it typically used?","Red circle with slash over 'STOP'; used where stopping even temporarily poses safety hazards (e.g., bus stops).",Parking Rules,Medium
When must you use a spare tire designated as temporary (donut)?,Only drive up to 50 mph and replace with a full-size tire as soon as possible.,Vehicle Equipment,Medium
What does a diamond-shaped sign with a pedestrian and wheelchair symbol mean?,Disabled crossing; watch for people with disabilities crossing the roadway.,Pedestrians,Medium
What is the difference between a 'No Turn on Red' sign and a 'Right Turn Only' sign?,'No Turn on Red' prohibits turning after stopping on red light; 'Right Turn Only' means lane is exclusively for right turns.,Regulatory Signs,Medium
Filler question 257: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 258: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 259: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 260: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 261: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 262: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 263: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 264: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 265: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 266: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 267: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 268: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 269: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 270: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 271: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 272: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 273: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 274: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 275: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 276: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 277: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 278: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 279: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 280: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 281: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 282: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 283: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 284: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 285: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 286: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 287: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 288: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 289: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 290: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 291: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 292: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 293: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 294: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 295: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 296: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 297: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 298: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 299: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
Filler question 300: Describe a regulatory sign you might encounter and its meaning.,"A regulatory sign is white with black or red letters/shapes. For example, a circular red 'Do Not Enter' sign indicates you cannot enter the roadway.",Regulatory Signs,Easy
